coord_X,coord_Y
-2.509197623,9.014286128
4.639878836,1.973169684
-6.879627191,-6.880109593
-8.838327757,7.323522915
2.022300235,4.161451556
-9.588310114,9.398197043
6.648852816,-5.753217786
-6.363500656,-6.331909803
-3.915155141,0.495128633
-1.361099627,-4.175417196
2.237057894,-7.210122787
-4.157107029,-2.672763134
-0.878600316,5.703519228
-6.006524357,0.284688768
1.848291377,-9.070991746
2.150897038,-6.589517526
-8.69896814,8.977710745
9.312640661,6.167946962
-3.907724617,-8.04655772
3.68466053,-1.196950125
-7.559235303,-0.096461798
-9.312229578,8.186408042
-4.824400368,3.250445687
-3.765778478,0.401360424
0.934205587,-6.302910889
9.391692555,5.502656467
8.789978831,7.896547009
1.957999576,8.4374847
-8.230149959,-6.080342752
-9.095454222,-3.493393385
